Latitude,Longitude,Acceleration_x,Acceleration_y,Acceleration_z,Gyro_x,Gyro_y,Gyro_z,Temperature,Pressure,Altitude,Voltage,RfLink
2654.66485,8604.80886,-0.07,0.15,9.12,-0.03,0.03,0,42.46,989.03,203.69,3.33,1
,,,,,,,,,,,,
2654.66485,8604.80884,-0.07,0.17,9.1,-0.03,0.03,0,42.46,989.03,203.64,3.33,1
,,,,,,,,,,,,
2654.66485,8604.80883,-0.07,0.13,9.14,-0.03,0.03,0,42.46,989.03,203.56,3.33,1
,,,,,,,,,,,,
2654.66482,8604.80881,-0.08,0.16,9.14,-0.03,0.03,0,42.46,989.02,203.63,3.33,1
,,,,,,,,,,,,
2654.66483,8604.80879,-0.08,0.15,9.15,-0.03,0.03,0,42.46,989.03,203.64,3.33,1
,,,,,,,,,,,,
2654.66483,8604.80877,-0.09,0.15,9.14,-0.03,0.03,0,42.46,989.02,203.66,3.33,1
,,,,,,,,,,,,
2654.66483,8604.80877,-0.08,0.14,9.13,-0.03,0.04,0,42.46,989.03,203.59,3.33,1
,,,,,,,,,,,,
2654.66484,8604.80876,-0.1,0.15,9.16,-0.03,0.04,0,42.46,989.03,203.66,3.33,1
,,,,,,,,,,,,
2654.66484,8604.80874,-0.09,0.14,9.14,-0.03,0.03,0,42.46,989.03,203.66,3.32,1
,,,,,,,,,,,,
2654.66483,8604.80874,-0.09,0.15,9.14,-0.03,0.03,0,42.46,989.02,203.72,3.33,1
,,,,,,,,,,,,
2654.66482,8604.80875,-0.07,0.16,9.12,-0.03,0.03,0,42.46,989.02,203.67,3.34,1
,,,,,,,,,,,,
2654.66481,8604.80874,-0.08,0.15,9.11,-0.03,0.03,0,42.45,989.03,203.69,3.33,1
,,,,,,,,,,,,
2654.6648,8604.80874,-0.09,0.15,9.14,-0.03,0.03,0,42.45,989.02,203.72,3.33,1
,,,,,,,,,,,,
2654.66481,8604.80871,-0.1,0.15,9.14,-0.03,0.04,0,42.45,989.02,203.74,3.32,1
,,,,,,,,,,,,
2654.6648,8604.8087,-0.1,0.16,9.14,-0.03,0.03,0,42.45,989.02,203.72,3.32,1
,,,,,,,,,,,,
2654.66481,8604.80868,-0.1,0.15,9.11,-0.03,0.03,0,42.45,989.02,203.6,3.32,1
,,,,,,,,,,,,
2654.66482,8604.8087,-0.09,0.13,9.14,-0.03,0.03,0,42.45,989.03,203.77,3.33,1
,,,,,,,,,,,,
2654.66483,8604.8087,-0.08,0.15,9.14,-0.03,0.03,0,42.45,989.02,203.76,3.33,1
,,,,,,,,,,,,
2654.66485,8604.8087,-0.1,0.16,9.15,-0.03,0.03,0,42.45,989.02,203.79,3.32,1
,,,,,,,,,,,,
2654.66484,8604.80869,-0.09,0.15,9.12,-0.03,0.03,0,42.45,989.01,203.77,3.32,1
,,,,,,,,,,,,
2654.66484,8604.80869,-0.09,0.15,9.12,-0.03,0.03,0,42.45,989.01,203.77,3.32,0
,,,,,,,,,,,,
2654.66485,8604.80871,-0.08,0.14,9.13,-0.03,0.03,0,42.45,989.02,203.76,3.34,1
,,,,,,,,,,,,
2654.66486,8604.80869,-0.07,0.15,9.13,-0.03,0.03,0,42.45,989.02,203.72,3.33,1
,,,,,,,,,,,,
2654.66485,8604.80871,-0.1,0.15,9.14,-0.03,0.03,0,42.45,989.01,203.72,3.33,1
,,,,,,,,,,,,
2654.66485,8604.80873,-0.09,0.16,9.13,-0.03,0.03,0,42.44,989.03,203.63,3.33,1
,,,,,,,,,,,,
2654.66485,8604.80875,-0.08,0.14,9.13,-0.03,0.03,0,42.44,989.02,203.71,3.33,1
,,,,,,,,,,,,
2654.66483,8604.80877,-0.08,0.16,9.11,-0.03,0.04,0,42.44,989.02,203.69,3.32,1
,,,,,,,,,,,,
2654.66483,8604.80877,-0.09,0.17,9.14,-0.03,0.03,0,42.44,989.02,203.76,3.32,1
,,,,,,,,,,,,
2654.66485,8604.80877,-0.07,0.16,9.11,-0.03,0.03,0,42.44,989,203.83,3.33,1
,,,,,,,,,,,,
2654.66486,8604.80878,-0.08,0.17,9.15,-0.03,0.03,0,42.44,989.01,203.77,3.33,1
,,,,,,,,,,,,
2654.6649,8604.80879,-0.08,0.16,9.15,-0.03,0.03,0,42.44,989.01,203.73,3.34,1
,,,,,,,,,,,,
2654.66492,8604.80879,-0.09,0.14,9.15,-0.03,0.03,0,42.44,989.02,203.76,3.33,1
,,,,,,,,,,,,
2654.66496,8604.80882,-0.07,0.15,9.13,-0.03,0.03,0,42.44,989.01,203.75,3.33,1
,,,,,,,,,,,,
2654.66498,8604.80886,-0.08,0.16,9.11,-0.03,0.04,0,42.44,989.01,203.72,3.35,1
,,,,,,,,,,,,
2654.665,8604.80888,-0.1,0.16,9.13,-0.03,0.04,0,42.44,989.02,203.71,3.33,1
,,,,,,,,,,,,
2654.66502,8604.80888,-0.08,0.15,9.14,-0.03,0.03,0,42.44,989.03,203.55,3.33,1
,,,,,,,,,,,,
2654.66506,8604.80888,-0.09,0.16,9.14,-0.03,0.03,0,42.44,989.03,203.63,3.32,1
,,,,,,,,,,,,
2654.66508,8604.80889,-0.08,0.15,9.12,-0.03,0.03,0,42.43,989.04,203.58,3.32,1
,,,,,,,,,,,,
2654.66508,8604.8089,-0.1,0.16,9.11,-0.03,0.03,0,42.43,989.03,203.66,3.32,1
,,,,,,,,,,,,
2654.66509,8604.80888,-0.11,0.15,9.13,-0.03,0.03,0,42.43,989.03,203.69,3.32,1
,,,,,,,,,,,,
2654.66507,8604.8089,-0.08,0.16,9.14,-0.03,0.03,0,42.43,989.02,203.74,3.32,1
,,,,,,,,,,,,
2654.66507,8604.80889,-0.07,0.15,9.17,-0.03,0.04,0,42.43,989.01,203.74,3.33,1
,,,,,,,,,,,,
2654.66507,8604.80888,-0.09,0.15,9.14,-0.03,0.03,0,42.43,989.02,203.66,3.33,1
,,,,,,,,,,,,
2654.66508,8604.80887,-0.09,0.16,9.14,-0.03,0.03,0,42.43,989.03,203.59,3.33,1
,,,,,,,,,,,,
2654.66508,8604.80884,-0.07,0.14,9.12,-0.03,0.03,0,42.43,989.03,203.64,3.34,1
,,,,,,,,,,,,
2654.66507,8604.80882,-0.09,0.15,9.15,-0.03,0.03,0,42.43,989.03,203.58,3.33,1
,,,,,,,,,,,,
2654.66506,8604.80883,-0.09,0.15,9.13,-0.03,0.03,0,42.43,989.04,203.56,3.32,1
,,,,,,,,,,,,
2654.66503,8604.80884,-0.1,0.15,9.16,-0.03,0.03,0,42.43,989.04,203.52,3.34,1
,,,,,,,,,,,,
2654.66501,8604.80883,-0.08,0.14,9.13,-0.03,0.03,0,42.43,989.04,203.57,3.32,1
,,,,,,,,,,,,
